2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,region
40553,40553,40553,17756,19996,23584,31168,40782,52976,40516,39143,41698,46849,53129,49051,48443,50312,52894,Иркутская область
6163,8831,13274,13933,15731,17562,21696,37165,46723,36980,36395,40502,41278,42739,40546,43599,39866,40744,Иркутская область
4703,6000,12000,12860,12712,21690,26314,28303,29954,31279,35267,36064,38356,38905,38283,39791,38993,39028,Кемеровская область
4332,5437,8005,9001,11742,21021,23354,27621,33735,35465,36199,34329,38197,40348,41910,42467,37126,35351,Кемеровская область
6203,7900,12107,15523,18575,25040,27305,39255,45482,46266,37829,33734,38415,42103,48165,49115,48543,48061,Новосибирская область
5747,7430,12046,15118,17238,23444,28647,43145,54195,52267,47458,42710,47527,54329,56236,57424,52908,50634,Новосибирская область
4639,5536,10810,11368,12101,15098,18562,29691,34737,31502,30654,31561,34824,38430,40776,42951,42369,41393,Омская область
3350,4040,9477,9560,10979,14837,20197,32854,39363,32900,31570,33220,36922,41010,45359,45522,43414,40202,Омская область
4177,5600,8741,9910,11459,17536,20629,29135,43551,36056,33730,35537,40492,42070,44701,47797,47666,46867,Томская область
4023,6091,10486,11631,13513,19867,24280,36341,49491,42520,37173,38713,42508,44890,45999,50064,49635,48514,Томская область
7392,11180,13505,15566,20825,22902,27932,33038,43500,49115,47515,43545,50713,58252,61748,64743,66082,65709,Дальневосточный федеральный округ
5297,6225,8761,11142,15380,17835,24701,30581,44682,47176,47142,55426,61700,68760,69138,75095,69575,67953,Дальневосточный федеральный округ
48659,48659,48659,48659,48659,22809,25494,29663,36205,49481,48606,47202,49072,53201,65503,71267,71912,62163,Республика Саха (Якутия)
4522,7036,11306,13193,16369,20320,25887,37037,45143,49395,47233,48994,53318,58683,74311,85277,80984,74206,Республика Саха (Якутия)
46223,46223,46223,46223,14600,19200,26300,35957,47655,37607,45369,45911,47228,47507,51010,70621,81023,77141,Камчатский край
3137,3655,4745,5604,8323,13002,16771,22435,29942,38061,41991,40802,43530,53704,61834,62521,65285,59680,Камчатский край
9643,13194,16520,17872,21941,23878,29974,35482,46547,46028,49378,39604,41084,52798,55334,61924,70373,71586,Приморский край
7457,7259,9191,11810,15648,17954,26976,32773,50317,53602,53898,64148,72226,76921,75048,86324,84103,82700,Приморский край
7214,11795,12430,15982,24236,26649,30036,38340,49612,52024,49065,47422,56725,68052,71731,63032,60087,60859,Хабаровский край
4957,5956,9394,13454,19526,22089,27302,29003,43698,43551,42141,50325,59082,67298,63484,64871,59419,61201,Хабаровский край
5016,7253,10071,11423,15855,19252,26517,28643,38417,43694,45255,46223,53279,62522,62743,56962,52631,51703,Амурская область
3228,4369,6374,8256,11183,13901,21197,22842,33603,36121,39034,33905,39098,45103,48040,55747,53420,51778,Амурская область
49486,49486,49486,49486,49486,49486,49486,49486,49486,49486,32684,49486,47437,48509,48005,67907,50206,51654,Магаданская область
1598,1824,2872,4043,4626,7876,10818,16446,25790,28643,30216,30794,37076,47766,54196,54069,50932,46740,Магаданская область
68218,68218,68218,68218,68218,68218,68218,68218,54864,67569,65814,58115,58857,69637,71381,84464,76391,75091,Сахалинская область
5417,8163,10551,12133,19231,18083,26844,42936,64213,64649,61549,65468,68237,72324,74368,79805,95349,95478,Сахалинская область
27305,27305,27305,27305,27305,11750,12076,15059,23320,23352,23208,28230,30184,34172,37768,37634,40263,37957,Еврейская автономная область
27069,27069,27069,6064,8549,10728,12526,18383,26907,28067,25114,32657,35673,39331,41885,43433,39426,37297,Еврейская автономная область
50877,50877,50877,50877,50877,50877,50877,50877,50877,50877,50877,50877,50877,50877,50877,50877,50877,50877,Крымский федеральный округ
52625,52625,52625,52625,52625,52625,52625,52625,52625,52625,52625,52625,52625,52625,52625,52625,52625,52625,Крымский федеральный округ
4476,6772,8651,11045,15124,18297,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,Северный район
3496,5202,6956,8814,13359,15956,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,Северный район
9619,10093,12433,16112,23182,25796,16205,16205,16205,16205,16205,16205,16205,16205,16205,16205,16205,16205,Северо-Западный район
7934,9042,10568,13884,22820,25742,14998,14998,14998,14998,14998,14998,14998,14998,14998,14998,14998,14998,Северо-Западный район
11807,13816,16375,21521,29706,36086,21551,21551,21551,21551,21551,21551,21551,21551,21551,21551,21551,21551,Центральный район
8698,10651,14450,18727,24255,28687,17578,17578,17578,17578,17578,17578,17578,17578,17578,17578,17578,17578,Центральный район
6369,7836,9981,11855,14072,17054,11194,11194,11194,11194,11194,11194,11194,11194,11194,11194,11194,11194,Волго-Вятский район
4624,5864,7855,10243,12830,15875,9548,9548,9548,9548,9548,9548,9548,9548,9548,9548,9548,9548,Волго-Вятский район
4638,5686,7328,9780,12259,14507,9033,9033,9033,9033,9033,9033,9033,9033,9033,9033,9033,9033,Центрально-Черноземный район
4277,4972,6755,9153,11718,13688,8427,8427,8427,8427,8427,8427,8427,8427,8427,8427,8427,8427,Центрально-Черноземный район
5825,6774,8654,10260,12061,14118,9615,9615,9615,9615,9615,9615,9615,9615,9615,9615,9615,9615,Поволжский район
5323,6263,8504,10482,12409,15053,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,Поволжский район
